id,series_id,year,period,value,footnote_codes,original_file
80,CEU5552229282,2016,M13,235422,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
81,CEU5552230007,2016,M13,37,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
82,CEU5552230008,2016,M13,24.79,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
83,CEU5552230030,2016,M13,916.86,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
84,CEU5552230031,2016,M13,391.69,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
85,CEU5552230032,2016,M13,10.59,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
86,CEU5552230034,2016,M13,141.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
87,CEU5552230035,2016,M13,218.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
88,CEU5552230081,2016,M13,9058,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
89,CEU5552230082,2016,M13,224539,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
90,CEU5552232007,2016,M13,37.3,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
91,CEU5552232008,2016,M13,27.35,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
92,CEU5552232030,2016,M13,1021.38,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
93,CEU5552232031,2016,M13,436.35,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
94,CEU5552232032,2016,M13,11.68,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
95,CEU5552232034,2016,M13,208.6,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
96,CEU5552232035,2016,M13,409.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
97,CEU5552232081,2016,M13,3994,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
98,CEU5552232082,2016,M13,109237,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
99,CEU5552300007,2016,M13,37.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
100,CEU5552300008,2016,M13,40.83,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
101,CEU5552300030,2016,M13,1532.34,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
102,CEU5552300031,2016,M13,654.63,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
103,CEU5552300032,2016,M13,17.44,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
104,CEU5552300034,2016,M13,129.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
105,CEU5552300035,2016,M13,237.3,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
106,CEU5552300081,2016,M13,26079,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
107,CEU5552300082,2016,M13,1064771,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
108,CEU5552312007,2016,M13,38,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
109,CEU5552312008,2016,M13,35.69,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
110,CEU5552312030,2016,M13,1354.48,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
111,CEU5552312031,2016,M13,578.65,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
112,CEU5552312032,2016,M13,15.25,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
113,CEU5552312034,2016,M13,107.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
114,CEU5552312035,2016,M13,179.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
115,CEU5552312081,2016,M13,8292,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
116,CEU5552312082,2016,M13,295887,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
117,CEU5552320007,2016,M13,37.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
118,CEU5552320008,2016,M13,42.38,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
119,CEU5552320030,2016,M13,1603.07,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
120,CEU5552320031,2016,M13,684.85,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
121,CEU5552320032,2016,M13,18.11,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
122,CEU5552320034,2016,M13,103.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
123,CEU5552320035,2016,M13,198.7,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
124,CEU5552320081,2016,M13,13029,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
125,CEU5552320082,2016,M13,552231,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
126,CEU5552390007,2016,M13,37.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
127,CEU5552390008,2016,M13,39.28,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
128,CEU5552390030,2016,M13,1461.86,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
129,CEU5552390031,2016,M13,624.52,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
130,CEU5552390032,2016,M13,16.78,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
131,CEU5552390034,2016,M13,173.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
132,CEU5552390035,2016,M13,299.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
133,CEU5552390081,2016,M13,13042,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
134,CEU5552390082,2016,M13,512211,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
135,CEU5552392007,2016,M13,37.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
136,CEU5552392008,2016,M13,43.64,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
137,CEU5552392030,2016,M13,1637.45,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
138,CEU5552392031,2016,M13,699.54,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
139,CEU5552392032,2016,M13,18.64,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
140,CEU5552392034,2016,M13,160.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
141,CEU5552392035,2016,M13,289.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
142,CEU5552392081,2016,M13,5279,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
143,CEU5552392082,2016,M13,230390,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
144,CEU5552393007,2016,M13,36.6,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
145,CEU5552393008,2016,M13,35.45,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
146,CEU5552393030,2016,M13,1297.72,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
147,CEU5552393031,2016,M13,554.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
148,CEU5552393032,2016,M13,15.14,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
149,CEU5552393034,2016,M13,225.6,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
150,CEU5552393035,2016,M13,367.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
151,CEU5552393081,2016,M13,5276,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
152,CEU5552393082,2016,M13,187044,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
153,CEU5552400007,2016,M13,38.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
154,CEU5552400008,2016,M13,28.7,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
155,CEU5552400030,2016,M13,1102.91,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
156,CEU5552400031,2016,M13,471.18,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
157,CEU5552400032,2016,M13,12.26,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
158,CEU5552400034,2016,M13,116.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
159,CEU5552400035,2016,M13,176.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
160,CEU5552400081,2016,M13,80974,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
161,CEU5552400082,2016,M13,2324221,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
162,CEU5552410007,2016,M13,39.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
163,CEU5552410008,2016,M13,30.38,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
